id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
19956,9171,variation,612590416002,AMINO REVOLUTION LANDERFIT RASPBERRY LEMONADE + ELECTROLITROS,0,0,outofstock,outofstock,True,29.99,29.99
13388,0,simple,810139572350,VITAMINA B COMPLEX 120 CAPSULAS,6,6,outofstock,outofstock,True,19.99,19.99
19255,19253,variation,810121057995,AMINO K.E.M CITRUS CANDY- EVOGEN,8,8,instock,instock,True,45.99,45.99
19258,19253,variation,810121055755,AMINO K.E.N CRAN BERRY POMEGRANATE- EVOGEN,1,1,outofstock,outofstock,True,45.99,45.99
19964,19963,variation,612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,25,25,instock,instock,True,29.99,29.99
19876,19871,variation,748927055351,AMINO ENERGY GREEN APPLE 585G,3,3,outofstock,outofstock,True,59.99,59.99
11803,0,simple,713101732076,PROTEINA VEGANA DE 4 LBS PANCAKE IMPULSE,9,9,instock,instock,True,74.99,74.99
11229,0,simple,850030689276,MULTI MINERAL REVIVE,34,34,instock,instock,True,39.99,39.99
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON  CRUNCH CEREAL,0,0,outofstock,outofstock,True,54.99,54.99
19414,19402,variation,817189024587,EVPXTREME SOUR WATERMELON,1,1,outofstock,outofstock,True,49.99,49.99
19856,19843,variation,748927026665,AMINO ENERGY FRUIT FUSION 270 G,127,127,instock,instock,True,32.99,32.99
19237,19235,variation,817189028981,ISOJECT DE 4 LBS CHOCOLATE EVOGEN,1,1,outofstock,outofstock,True,99.99,99.99
18865,18861,variation,713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,4,4,outofstock,outofstock,True,78.99,78.99
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,23,23,instock,instock,True,95.99,95.99
14430,0,simple,812590416028,MELATONINA 5 MG 120 CAPSULAS- LANDERFIT,20,20,instock,instock,True,20.99,20.99
18857,18854,variation,713101732014,PROLIVE BIO6 COCONUT 6 LBS IMPULSE,1,1,outofstock,outofstock,True,106.99,106.99
14421,0,simple,612590415852,GLUCOSAMINA 120 CAPSULAS- LANDERFIT,38,38,instock,instock,True,20.99,20.99
13390,0,simple,810139574361,VITAMINA- E 30 CAPSULAS,21,21,instock,instock,True,19.99,19.99
13379,0,simple,810139573739,MILK THISTLE 120 CASULAS,2,2,outofstock,outofstock,True,19.99,19.99
19855,19843,variation,748927051704,AMINO ENERGY GREEN APPLE 270 G,24,24,instock,instock,True,32.99,32.99
19056,19055,variation,860008634443,PROTEIN COOKIE CHOCOLATE CHIP,0,0,outofstock,outofstock,True,4,4.00
18939,18933,variation,7503013595868,WHEY PRO DUT CHOCOLATE 2 LBS,6,6,outofstock,outofstock,True,39.99,39.99
18874,18869,variation,745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,2,2,outofstock,outofstock,True,29.99,29.99
13375,0,simple,713325974009,DHEA 180 CAPSULAS,8,8,instock,instock,True,25.99,25.99
19086,19081,variation,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,283,283,instock,instock,True,43.2,3.60
21454,0,simple,810121050286,EVOFUSION CHOCOLATE PEANUTBUTTER 4.78 LBS EVOGEN,333,333,instock,instock,True,89.99,89.99
19356,19354,variation,810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,28,28,instock,instock,True,34.99,34.99
18961,18960,variation,631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,2,2,outofstock,outofstock,True,79.99,79.99
18912,18910,variation,181030000144,XTEND ORIGINAL 90 SERV. SMASH APPLE,15,15,instock,instock,True,59.99,59.99
13383,0,simple,810014674001,R-ALPHA LIPOIC ACID 100 MG 120 CAPSULAS,9,9,instock,instock,True,31.95,31.95
18893,18887,variation,608631655424,CREATINA STIM PRO52 SERV. FRUIT PUNCH IMPULSE,52,52,instock,instock,True,32.99,32.99
18862,18861,variation,713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,23,23,instock,instock,True,78.99,78.99
19244,19242,variation,810121053737,EVOFUSION COOKIES AND CREAM 4.6 LBS EVOGEN,0,0,outofstock,outofstock,True,89.99,89.99
19854,19843,variation,748927026672,AMINO ENERGY WATERMELON 270 G,88,88,instock,instock,True,32.99,32.99
11858,0,simple,810121055113,VITAMIN D3 EVOGEN,32,32,instock,instock,True,19.99,19.99
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,280,280,instock,instock,True,43.2,3.60
19357,19354,variation,810121051290,CARNIGEN PREMIUN LIQUID RAINBON CANDY-EVOGEN,29,29,instock,instock,True,34.99,34.99
20465,20464,variation,842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,86,86,instock,instock,True,45.6,3.80
20478,20464,variation,842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,29,29,instock,instock,True,45.6,3.80
19828,19826,variation,748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,0,0,outofstock,outofstock,True,35.99,35.99
19366,19364,variation,810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,0,0,outofstock,outofstock,True,44.99,44.99
18189,18186,variation,703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,39,39,instock,instock,True,95.99,95.99
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,348,348,instock,instock,True,39.99,39.99
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,104,104,instock,instock,True,41.96,41.96
18953,18946,variation,829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,6,6,outofstock,outofstock,True,74.99,74.99
20408,11808,variation,891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),747,747,instock,instock,True,57.6,5.00
21393,21391,variation,811662029489,MASS EXTREME 2500 VAINILLA ICE CREAM MUTANT,55,55,instock,instock,True,49.99,49.99
