codigo,nombre_psk,nombre_wc,wc_id,wc_sku,wc_type,wc_parent,stock_psk,stock_wc,delta
705016353200,ISO 100 COOKIES AND CREAM 5 LBS DYMATIZE,,,,,0,0,,
705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,Proteína ISO100 – Dymatize – 5 LBS – Isolatada e Hidrolizada para Recuperación Muscular - Vainilla,20385,705016353217,variation,19183,160,160,0
705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,Proteína ISO100 - Dymatize - 3 LBS - Isolatada e Hidrolizada para Recuperación Muscular - Fudge Brownie,19227,705016353231,variation,19225,2,2,0
705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,Proteína ISO100 - Dymatize - 3 LBS - Isolatada e Hidrolizada para Recuperación Muscular - Fruity Pebbles,19228,705016353415,variation,19225,13,13,0
705016353422,ISO 100 COCOA PEBBLES 3 LBS DYMATIZE,Proteína ISO100 - Dymatize - 3 LBS - Isolatada e Hidrolizada para Recuperación Muscular - Cocoa Pebbles,19229,705016353422,variation,19225,11,10,1
705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,Proteína ISO100 – Dymatize – 5 LBS – Isolatada e Hidrolizada para Recuperación Muscular - Fruity Pebbles,19190,705016353439,variation,19183,14,14,0
705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,Proteína ISO100 – Dymatize – 5 LBS – Isolatada e Hidrolizada para Recuperación Muscular - Cocoa Pebbles,19188,705016353446,variation,19183,6,6,0
705016354207,PROTEINA ISO 100 FRUITY PEBBLES 20 SERV. 1.34 LBS DYMATIZE,,,,,0,397,,
705016356201,ISO 100 COCOA PEBBLES 1.34 LBS DYMATIZE,,,,,0,0,,
705016357208,ISO 100 GOURMET CHOCOLATE 1.34 LBS DYMATIZE,,,,,0,0,,
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,Proteína ISO100 - Dymatize - 1.34 LBS - Ganancia Muscular - Vainilla,20388,705016358205,variation,19205,184,185,-1
705016500406,ISO 100 FUGGE BROWNIE 5 LBS DYMATIZE,,,,,0,0,,
705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,Proteína ISO100 – Dymatize – 5 LBS – Isolatada e Hidrolizada para Recuperación Muscular - Birthday Cake,19191,705016500420,variation,19183,21,21,0
705016599141,ISO 100 WHEY ELITE CHOCOLATE RICH 2 LB DYMATIZE,,,,,0,0,,
705016600205,ISO 100 DUNKIN MOCHA LATTE 1.34 LBS DYMATIZE,,,,,0,0,,
705016600335,ISO 100 CHOCOLATE PEANUT BUTTER 1.34 LBS DYMATIZE,,,,,0,0,,
705016600342,ISO 100 20 SERV FUDGE BROWNIE 3CT (NEW),,,,,0,0,,
705016600359,"ISO 100 COOKIES AND CREAM 1,34 LBS DYMATIZE",,,,,0,0,,
705016600366,ISO 100 BIRTHDAY CAKE PEBBLES 1.34 LBS DYMATIZE,Proteína ISO100 - Dymatize - 1.34 LBS - Ganancia Muscular - Birthday Cake Pebbles,19210,705016600366,variation,19205,2,2,0
705016601042,SALTED CARAMEL 1.34 LBS DYMATIZE,,,,,0,210,,
705016601141,ISO 100 CINAMON CHURRO 5 LBS DYMATIZE,,,,,0,0,,
710779770089,LEAN BODY VANILLA LABRADA 17OZ,,,,,0,180,,
710779770096,LEAN BODY CHOCOLATE LABRADA 17OZ,,,,,0,483,,
710779770102,LEAN BODY STRAWBERRY LABRADA 17OZ,,,,,0,796,,
710779770171,LEAN BODY COOKIES & CREAM LABRADA 17OZ,,,,,0,205,,
710779770218,LEAN BODY SALTD CARAMEL LABARADA 17OZ,,,,,0,224,,
7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,Proteína Vegana - Impulse - 3 LBS - Ganancia Muscular y Recuperación - Caramelo Peanut Butter,18864,7113101732151,variation,18861,13,13,0
713101731994,PROLIVE BIO5 DE MANGO 6 LB IMPULSE,,,,,0,0,,
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,Proteína Blend – Impulse – 6 LBS – Ganancia Muscular y Recuperación - Sundae Caramel,18858,713101732007,variation,18854,56,55,1
713101732014,PROLIVE BIO6 COCONUT 6 LBS IMPULSE,Proteína Blend – Impulse – 6 LBS – Ganancia Muscular y Recuperación - Coconut,18857,713101732014,variation,18854,1,1,0
713101732021,PROLIVE BIO6 PIÑA COLADA DE 6 LBS IMPULSE,,,,,0,0,,
713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,Proteína Blend – Impulse – 6 LBS – Ganancia Muscular y Recuperación - Coffe Lovers,18856,713101732038,variation,18854,46,46,0
713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,Proteína Blend – Impulse – 6 LBS – Ganancia Muscular y Recuperación - Crispy Toffee,18855,713101732045,variation,18854,34,34,0
713101732076,PROTEINA VEGANA DE 4 LBS PANCAKE IMPULSE,Proteína Vegana - Impulse - Sabor Pancake - 4 LBS - Ganancia y Recuperación,11803,713101732076,simple,0,10,10,0
713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,Proteína Vegana - Impulse - 3 LBS - Ganancia Muscular y Recuperación - Vainilla,18862,713101732113,variation,18861,27,25,2
713101732120,VEGANA ULTRA DE CHOCOLATE 3 LBS IMPULSE,,,,,0,0,,
713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,Proteína Vegana - Impulse - 3 LBS - Ganancia Muscular y Recuperación - Strawberry Ice Cream,18863,713101732137,variation,18861,10,11,-1
713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,Proteína Vegana - Impulse - 3 LBS - Ganancia Muscular y Recuperación - Coco,18865,713101732144,variation,18861,5,5,0
713325974009,DHEA 180 CAPSULAS,DHEA 100mg - Nutricost - 180 Cápsulas - Equilibrio Hormonal y Vitalidad,13375,713325974009,simple,0,4,4,0
722252069719,BUILDERS OREO,,,,,0,1,,
722252601414,BUILDERS CHOCOLATEPEANUT BUTTER,,,,,0,1,,
722252601445,BUILDERS CHOCOLATE MINT,,,,,0,7,,
7401165100018,TASU CHIPS MANGO,,,,,0,14,,
7401165100032,TASU CHIPS BANANA FRESA,,,,,0,15,,
7451009770051,AGUA CRISTALINA,,,,,0,326,,
745560721971,RAPTOR X5 FRUIT PUNCH IMPULSE,Raptor X5 - Impulse - Sabor Fruit Punch - Suplemento Pre-Entreno para Energía y Rendimiento,12945,745560721971,simple,0,0,0,0
745560722008,L-CARNITINA 3500 BLUE BERRY IMPULSE,,,,,0,0,,
745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",Creatina Super ATP - Impulse - 80 Srv - Creatina Sin Sabor para Fuerza y Rendimiento,108,745560722015,simple,0,24,25,-1
