sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
850049150446,INT-CBUM-ITHOLATE-VANILLA-FL - 5LB (ISOLATADA),variation,0,outofstock,0,outofstock,0,99.99,99.99,no,no
810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,variation,9,instock,9,instock,0,29.99,29.99,no,no
810121055274,EVP XTREME VICTORY PUNCH EVOGEN,variation,0,outofstock,0,outofstock,0,49.99,49.99,no,no
7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,variation,8,instock,8,instock,0,78.99,78.99,no,no
891597002542,PROTEINA 4 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),simple,0,outofstock,0,outofstock,0,69.99,69.99,no,no
705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,variation,4,outofstock,4,outofstock,0,148.99,148.99,no,no
703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,variation,5,outofstock,5,outofstock,0,29.99,29.99,no,no
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,variation,2,outofstock,2,outofstock,0,29.99,29.99,no,no
810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,variation,1,outofstock,1,outofstock,0,58.99,58.99,no,no
810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,variation,0,outofstock,0,outofstock,0,58.99,58.99,no,no
817189027793,LIPOCIDE- IR FRUIT PONCHS-EVOGEN,variation,37,instock,37,instock,0,49.99,49.99,no,no
705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,variation,5,outofstock,5,outofstock,0,99.99,99.99,no,no
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,simple,13,instock,13,instock,0,29.99,29.99,no,no
612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,simple,1,outofstock,1,outofstock,0,49.99,49.99,no,no
748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,variation,377,instock,376,instock,-1,115.99,115.99,no,SI
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,simple,1383,instock,1377,instock,-6,24.99,24.99,no,SI
810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,variation,24,instock,24,instock,0,34.99,34.99,no,no
703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,variation,103,instock,103,instock,0,95.99,99.99,SI,SI
810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,variation,17,instock,17,instock,0,49.99,49.99,no,no
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,variation,54,instock,54,instock,0,43.2,3.60,SI,SI
810121057261,HIDRATACION PEACH TEA,variation,11,instock,11,instock,0,35.99,35.99,no,no
